carat;cut;color;clarity;depth;table;price;x;y;z
91;Premium;H;SI1;614;560;2763;609;597;37
61;Very Good;D;VVS2;596;570;2763;556;558;332
91;Fair;H;SI2;644;570;2763;611;609;393
91;Fair;H;SI2;657;600;2763;603;599;395
77;Ideal;H;VS2;620;560;2763;589;586;364
71;Very Good;D;SI1;636;580;2764;564;568;36
71;Ideal;D;SI1;619;590;2764;569;572;353
7;Very Good;E;VS2;626;600;2765;562;565;353
77;Very Good;H;VS1;613;600;2765;588;59;361
63;Premium;E;VVS1;609;600;2765;552;555;337
71;Very Good;F;VS1;601;620;2765;574;577;346
71;Premium;F;VS1;618;590;2765;569;573;353
76;Ideal;H;SI1;612;570;2765;588;591;361
64;Ideal;G;VVS1;619;560;2766;553;556;343
71;Premium;G;VS2;609;570;2766;578;575;351
71;Premium;G;VS2;598;560;2766;589;581;35
7;Very Good;D;VS2;618;550;2767;568;572;352
7;Very Good;F;VS1;600;570;2767;58;587;35
7;Good;H;VVS2;621;640;2767;562;565;35
71;Very Good;G;VS1;633;590;2768;552;561;352
73;Very Good;D;SI1;602;560;2768;583;587;352
7;Very Good;D;SI1;611;580;2768;566;573;348
7;Ideal;E;SI1;609;570;2768;573;576;35
71;Premium;D;SI2;617;590;2768;571;567;351
71;Premium;D;VS2;625;600;2770;565;561;352
73;Premium;G;VS2;614;590;2770;583;576;356
76;Very Good;F;SI1;629;570;2770;579;581;365
76;Ideal;D;SI2;624;570;2770;578;583;362
71;Ideal;F;SI1;607;560;2770;577;58;351
73;Premium;G;VS2;607;580;2770;587;582;355
73;Premium;G;VS1;615;580;2770;579;575;355
73;Ideal;D;SI2;599;570;2770;592;589;354
73;Premium;G;VS2;592;590;2770;592;587;349
72;Very Good;H;VVS2;603;560;2771;581;583;351
73;Very Good;F;SI1;617;600;2771;579;582;358
71;Ideal;G;VS2;619;570;2771;573;577;356
79;Ideal;F;SI2;619;550;2771;597;592;368
73;Very Good;H;VVS1;604;590;2772;583;589;354
8;Very Good;F;SI2;610;570;2772;601;603;367
58;Ideal;G;VVS1;615;550;2772;539;544;333
58;Ideal;F;VVS1;617;560;2772;533;537;33
71;Good;E;VS2;592;610;2772;58;588;346
75;Ideal;D;SI2;613;560;2773;585;589;36
117;Very Good;J;I1;602;610;2774;683;69;413
7;Ideal;E;SI1;627;550;2774;568;574;358
83;Good;I;VS2;646;540;2774;585;588;379
74;Very Good;F;VS2;613;610;2775;58;584;357
72;Very Good;G;VS2;637;564;2776;562;569;361
71;Premium;E;VS2;627;580;2776;574;568;358
71;Ideal;E;VS2;622;570;2776;579;562;355
54;Ideal;E;VVS2;616;560;2776;525;527;324
54;Ideal;E;VVS2;615;570;2776;524;526;323
72;Ideal;G;SI1;607;560;2776;579;582;353
71;Ideal;G;SI1;605;560;2776;58;576;35
7;Very Good;D;VS1;627;580;2777;566;573;357
71;Premium;F;VS2;621;580;2777;567;57;353
71;Very Good;F;VS2;628;570;2777;564;569;356
71;Good;F;VS2;638;580;2777;561;564;359
7;Ideal;E;VS2;621;550;2777;57;567;353
7;Premium;E;VS2;611;600;2777;571;564;347
7;Premium;E;SI1;600;590;2777;579;575;346
7;Premium;E;SI1;612;570;2777;573;568;349
7;Premium;E;SI1;627;590;2777;567;563;354
7;Premium;E;SI1;610;570;2777;573;568;348
7;Premium;E;SI1;610;580;2777;578;572;351
7;Ideal;E;SI1;614;570;2777;576;57;352
72;Premium;F;SI1;618;610;2777;582;571;356
7;Very Good;E;SI1;599;630;2777;576;57;343
7;Premium;E;SI1;613;580;2777;571;568;349
7;Premium;E;SI1;605;580;2777;577;574;348
7;Good;E;VS2;641;590;2777;564;559;36
98;Fair;H;SI2;679;600;2777;605;597;408
78;Premium;F;SI1;624;580;2777;583;58;363
7;Very Good;E;SI1;632;600;2777;56;551;351
52;Ideal;F;VVS1;613;550;2778;519;522;319
73;Very Good;H;VS2;608;560;2779;582;584;355
74;Ideal;E;SI1;617;560;2779;584;58;359
7;Very Good;F;VS2;636;570;2780;561;565;358
77;Premium;G;VS2;612;580;2780;59;593;362
71;Ideal;F;VS2;621;540;2780;568;572;354
74;Ideal;G;VS1;615;550;2780;581;586;359
7;Ideal;G;VS1;614;590;2780;564;573;349
101;Premium;F;I1;618;600;2781;639;636;394
77;Ideal;H;SI1;622;560;2781;583;588;364
78;Ideal;H;SI1;612;560;2781;592;599;364
72;Very Good;H;VS1;606;630;2782;583;576;351
53;Very Good;D;VVS2;575;640;2782;534;537;308
76;Ideal;G;VS2;613;560;2782;59;594;363
7;Good;E;VS1;572;620;2782;581;577;331
75;Very Good;D;SI2;631;580;2782;578;573;363
72;Ideal;D;SI1;608;570;2782;576;575;35
7;Premium;D;SI1;628;600;2782;568;566;356
75;Premium;F;SI1;614;590;2782;588;585;36
52;Ideal;F;IF;622;550;2783;514;518;321
72;Very Good;F;VS2;630;540;2784;569;573;36
79;Very Good;H;VS1;637;560;2784;585;592;375
72;Very Good;F;VS2;636;580;2787;566;569;361
51;Ideal;F;VVS1;620;570;2787;511;515;318
64;Ideal;D;VS1;615;560;2787;554;555;341
7;Very Good;H;VVS1;605;600;2788;574;577;348
83;Very Good;I;VS1;611;600;2788;607;61;372
76;Ideal;I;VVS2;618;560;2788;585;587;362
71;Good;D;VS2;633;560;2788;564;568;358
77;Good;G;VS1;594;640;2788;597;592;353
71;Ideal;F;SI1;625;550;2788;571;565;355
101;Fair;E;I1;645;580;2788;629;621;403
101;Premium;H;SI2;627;590;2788;631;622;393
77;Good;F;SI1;642;520;2789;581;577;372
76;Good;E;SI1;637;540;2789;576;585;37
76;Premium;E;SI1;604;580;2789;592;594;358
76;Premium;E;SI1;618;580;2789;582;586;361
105;Very Good;J;SI2;632;560;2789;649;645;409
7;Ideal;E;SI1;616;560;2789;572;575;353
55;Ideal;G;IF;609;570;2789;528;53;322
81;Good;G;SI2;610;610;2789;594;599;364
63;Premium;E;VVS2;621;570;2789;548;541;338
77;Premium;H;VS1;613;600;2789;59;588;361
105;Fair;J;SI2;658;590;2789;641;627;418
64;Ideal;G;IF;613;560;2790;554;558;341
76;Premium;I;VVS1;588;590;2790;60;594;351
83;Ideal;F;SI2;623;550;2790;602;605;376
71;Premium;F;VS1;601;620;2790;577;574;346
71;Premium;F;VS1;618;590;2790;573;569;353
87;Very Good;I;SI1;636;558;2791;607;61;387
73;Ideal;E;SI1;622;560;2791;574;578;358
71;Premium;E;SI1;592;590;2792;583;586;346
71;Premium;E;SI1;618;590;2792;57;575;354
71;Ideal;E;SI1;613;550;2792;572;577;352
7;Premium;F;VS1;621;600;2792;571;565;353
7;Premium;F;VS1;607;600;2792;578;575;35
76;Premium;H;VVS2;596;570;2792;591;586;351
7;Ideal;F;VS1;622;560;2792;573;568;355
7;Very Good;E;VS2;629;570;2793;566;569;357
7;Good;E;VS2;641;550;2793;56;566;361
76;Ideal;I;VS2;613;560;2793;587;591;361
73;Ideal;H;VS2;627;550;2793;572;576;36
79;Very Good;E;SI1;632;560;2794;591;586;372
71;Very Good;E;VS2;607;560;2795;581;582;353
72;Good;F;VS1;607;600;2795;574;572;348
72;Premium;D;SI2;620;600;2795;573;569;354
72;Premium;I;IF;630;570;2795;572;57;36
72;Premium;G;VS2;629;570;2795;573;565;358
10;Premium;I;SI2;582;600;2795;661;655;383
73;Good;E;SI1;632;580;2796;57;576;362
81;Very Good;H;SI2;613;590;2797;594;601;366
81;Very Good;E;SI1;603;600;2797;607;61;367
71;Premium;D;SI1;627;600;2797;567;571;357
71;Premium;D;SI1;613;580;2797;573;575;352
71;Premium;D;SI1;616;600;2797;574;569;352
57;Ideal;F;VVS2;619;550;2797;534;535;331
51;Ideal;D;VVS1;617;560;2797;512;516;317
72;Ideal;G;VS2;619;580;2797;572;575;355
74;Ideal;H;VS1;618;580;2797;577;581;358
74;Ideal;H;VS1;616;560;2797;581;582;358
7;Fair;G;VVS1;588;660;2797;581;59;344
8;Premium;F;SI2;610;570;2797;603;601;367
101;Fair;E;SI2;674;600;2797;619;605;413
8;Very Good;H;VS2;634;600;2797;592;582;372
77;Ideal;I;VS1;615;590;2798;587;591;362
83;Very Good;E;SI2;580;620;2799;619;625;361
82;Ideal;F;SI2;624;540;2799;597;602;374
78;Ideal;D;SI1;619;570;2799;591;586;364
6;Very Good;G;IF;616;560;2800;543;546;335
9;Good;I;SI2;622;590;2800;607;611;379
7;Premium;E;VS1;622;580;2800;56;566;35
9;Very Good;I;SI2;613;560;2800;617;623;38
83;Ideal;G;SI1;623;570;2800;599;608;376
83;Very Good;H;SI1;625;590;2800;595;602;374
74;Premium;G;VS1;629;600;2800;574;568;359
79;Ideal;I;VS1;618;590;2800;592;595;367
61;Ideal;G;IF;623;560;2800;543;545;339
96;Ideal;F;I1;607;550;2801;637;641;388
73;Ideal;F;VS2;625;550;2801;58;576;361
73;Premium;F;VS2;627;580;2801;576;57;359
75;Ideal;H;SI1;604;570;2801;593;596;359
71;Premium;F;VS2;621;580;2801;57;567;353
71;Good;F;VS2;578;600;2801;59;587;34
71;Good;F;VS2;638;580;2801;564;561;359
71;Premium;F;VS2;628;570;2801;569;564;356
104;Premium;G;I1;622;580;2801;646;641;40
87;Very Good;G;SI2;599;580;2802;619;623;372
53;Ideal;F;IF;619;540;2802;522;525;324
72;Premium;E;VS2;630;550;2802;579;561;359
72;Premium;F;VS1;624;580;2802;583;57;36
7;Very Good;F;VS2;629;580;2803;563;565;355
74;Very Good;E;SI1;635;560;2803;574;579;366
71;Ideal;G;VS2;613;560;2803;575;571;351
73;Ideal;E;SI1;606;540;2803;584;589;355
7;Good;G;VS1;651;580;2803;556;559;363
71;Premium;F;VS2;626;580;2803;57;567;356
71;Premium;F;VS2;580;620;2803;585;581;338
71;Premium;G;VS1;624;610;2803;57;565;354
77;Premium;G;VS2;613;570;2803;593;588;362
71;Premium;G;VS2;599;600;2803;581;577;347
78;Premium;G;VS2;608;580;2803;603;595;364
71;Very Good;G;VS1;635;550;2803;566;564;359
91;Ideal;D;SI2;622;570;2803;621;615;385
71;Very Good;E;VS2;638;580;2804;562;566;36
71;Very Good;E;VS2;640;570;2804;566;568;363
8;Very Good;E;SI2;625;560;2804;588;596;37
7;Very Good;D;SI1;623;580;2804;569;573;356
72;Ideal;F;VS1;617;570;2804;574;577;355
72;Very Good;F;VS1;622;580;2804;575;57;356
82;Ideal;H;VS2;615;560;2804;601;608;372
7;Ideal;D;SI1;610;590;2804;568;57;347
72;Ideal;D;SI1;622;560;2804;574;577;358
72;Ideal;D;SI1;615;540;2804;577;58;356
9;Fair;I;SI1;673;590;2804;593;584;396
74;Premium;F;VS2;617;580;2805;585;578;359
74;Premium;F;VS2;619;560;2805;58;577;358
73;Ideal;E;SI2;618;580;2805;577;581;358
57;Fair;E;VVS1;587;660;2805;534;543;316
73;Premium;F;VS2;625;570;2805;575;57;358
72;Ideal;G;VS2;628;560;2805;574;57;359
74;Fair;F;VS2;611;680;2805;582;575;353
82;Good;G;VS2;640;570;2805;592;589;378
81;Very Good;G;SI1;625;600;2806;589;594;369
75;Very Good;H;VVS1;606;580;2806;585;59;356
7;Ideal;F;SI1;616;550;2806;572;574;353
71;Very Good;F;VS1;622;580;2807;566;572;354
71;Very Good;F;VS1;600;570;2807;584;59;352
93;Premium;J;SI2;619;570;2807;621;619;384
7;Very Good;F;VS1;620;570;2808;564;571;352
10;Fair;G;I1;664;590;2808;616;609;407
75;Very Good;G;VS2;634;560;2808;578;574;365
58;Ideal;E;VVS2;609;560;2808;541;543;33
73;Very Good;D;SI1;631;570;2808;574;57;361
81;Very Good;F;SI1;631;590;2809;585;579;367
81;Premium;D;SI2;592;570;2809;615;605;361
12;Fair;F;I1;646;560;2809;673;666;433
7;Very Good;F;VS1;618;560;2810;563;57;35
7;Very Good;F;VS1;599;600;2810;577;584;348
74;Ideal;D;SI2;617;550;2810;581;585;36
7;Good;F;VS1;628;610;2810;557;561;351
8;Good;G;SI1;627;570;2810;584;593;369
75;Very Good;F;SI1;634;580;2811;572;576;364
83;Very Good;D;SI1;635;540;2811;598;595;379
10;Fair;J;VS2;657;590;2811;614;607;401
99;Fair;I;SI2;681;560;2811;621;606;418
7;Very Good;G;VS1;630;600;2812;557;564;353
7;Very Good;F;VS2;595;580;2812;575;585;345
7;Good;E;SI1;635;590;2812;549;553;35
7;Very Good;F;VS2;617;580;2812;563;569;349
32;Premium;I;SI1;627;580;554;437;434;273
32;Premium;I;SI1;628;580;554;439;434;274
32;Ideal;I;SI1;624;570;554;437;435;272
32;Premium;I;SI1;610;590;554;439;436;267
32;Very Good;I;SI1;631;560;554;439;436;276
32;Ideal;I;SI1;607;570;554;447;442;27
3;Premium;H;SI1;609;590;554;431;429;262
3;Premium;H;SI1;629;580;554;428;424;268
3;Very Good;H;SI1;633;560;554;429;427;271
3;Good;H;SI1;638;550;554;426;42;27
3;Ideal;H;SI1;629;570;554;427;422;267
3;Very Good;H;SI1;634;600;554;425;423;269
32;Good;I;SI1;639;550;554;436;434;278
29;Very Good;E;VS1;619;550;555;428;433;266
29;Very Good;E;VS1;624;550;555;42;425;263
31;Very Good;F;SI1;618;580;555;432;435;268
34;Ideal;H;VS2;615;560;555;447;45;276
34;Ideal;H;VS2;604;570;555;454;457;275
34;Ideal;I;VS1;618;550;555;448;452;278
34;Ideal;I;VS1;620;560;555;45;453;28
3;Ideal;G;VS1;623;560;555;429;431;268
29;Ideal;F;VS1;616;560;555;426;431;264
35;Ideal;G;SI1;606;560;555;456;458;277
43;Very Good;E;I1;584;620;555;494;50;29
32;Very Good;F;VS2;614;580;556;437;442;27
36;Ideal;I;VS2;619;560;556;454;457;282
26;Ideal;E;VS1;615;570;556;409;412;252
7;Very Good;F;VS2;623;580;2812;564;572;354
7;Very Good;F;VS2;609;610;2812;566;571;346
99;Fair;J;SI1;550;610;2812;672;667;368
73;Premium;E;VS2;586;600;2812;592;589;346
51;Ideal;F;VVS1;620;570;2812;515;511;318
91;Premium;G;SI2;598;580;2813;63;629;377
91;Good;I;VS2;643;580;2813;609;605;39
76;Premium;E;SI1;622;590;2814;586;581;363
76;Ideal;E;SI1;617;570;2814;588;585;362
75;Premium;E;SI1;611;590;2814;586;583;357
55;Very Good;D;VVS1;615;560;2815;523;527;323
76;Very Good;F;SI2;585;620;2815;593;601;349
74;Premium;G;VS1;617;580;2815;579;581;358
7;Ideal;H;SI1;604;560;2815;575;581;349
7;Ideal;H;SI1;614;560;2815;57;576;352
7;Ideal;H;SI1;615;550;2815;573;579;354
7;Ideal;H;SI1;614;560;2815;572;577;353
9;Fair;J;VS2;650;560;2815;608;604;394
95;Fair;F;SI2;560;600;2815;662;653;368
89;Premium;H;SI2;602;590;2815;626;623;376
72;Premium;E;VS2;583;580;2815;599;592;347
96;Fair;E;SI2;531;630;2815;673;665;355
102;Premium;G;I1;603;580;2815;655;65;394
78;Very Good;I;VVS2;614;560;2816;591;595;364
61;Ideal;G;VVS2;601;570;2816;552;554;332
71;Good;D;VS1;634;550;2816;561;569;358
78;Premium;F;SI1;615;590;2816;596;588;364
87;Ideal;H;SI2;627;560;2816;616;613;385
71;Premium;E;SI1;613;560;2817;578;573;353
71;Ideal;I;VVS2;602;560;2817;584;589;353
71;Ideal;E;VS2;627;570;2817;566;564;354
71;Premium;E;VS2;623;580;2817;569;565;353
63;Ideal;F;VVS2;615;560;2817;548;552;338
71;Premium;E;SI1;592;590;2817;586;583;346
71;Premium;E;SI1;618;590;2817;575;57;354
71;Premium;E;SI1;614;580;2817;577;573;353
9;Ideal;J;VS2;628;550;2817;62;616;388
7;Premium;E;VS2;624;610;2818;566;563;352
7;Premium;E;VS2;593;600;2818;578;573;341
7;Premium;E;VS2;630;600;2818;564;56;354
10;Premium;H;I1;613;600;2818;643;639;393
86;Premium;F;SI2;593;620;2818;636;622;373
8;Ideal;H;SI1;610;570;2818;607;60;368
7;Premium;E;VS1;596;570;2818;591;583;35
7;Premium;F;VS2;618;600;2818;569;564;35
7;Premium;E;VS1;627;570;2818;568;564;355
10;Fair;H;SI2;653;620;2818;634;612;408
72;Very Good;G;VS1;638;580;2819;564;568;361
72;Ideal;H;VS1;623;560;2819;573;577;358
7;Good;F;VS1;597;630;2819;576;579;345
86;Good;F;SI2;643;600;2819;597;595;383
75;Ideal;E;SI1;620;570;2821;58;578;359
73;Premium;E;VS2;616;590;2821;577;573;354
53;Ideal;E;VVS1;619;550;2821;52;521;322
73;Premium;E;SI1;613;580;2821;583;576;355
73;Good;E;SI1;636;570;2821;572;57;363
73;Very Good;E;SI1;632;580;2821;576;57;362
7;Premium;E;VS1;608;600;2822;574;571;348
72;Premium;E;VS2;603;590;2822;584;58;351
72;Premium;E;VS2;609;600;2822;58;576;352
72;Premium;E;VS2;624;590;2822;577;57;358
7;Premium;E;VS2;602;600;2822;573;57;344
6;Ideal;F;VVS2;620;550;2822;537;54;334
74;Ideal;I;VVS1;608;570;2822;585;589;357
73;Ideal;F;SI1;621;550;2822;575;578;358
71;Premium;D;SI1;627;600;2822;571;567;357
71;Premium;D;SI1;613;580;2822;575;573;352
7;Premium;D;SI1;602;600;2822;582;575;348
7;Ideal;D;SI1;607;560;2822;575;572;348
9;Good;J;VS2;640;610;2822;604;603;386
7;Premium;E;VS2;615;590;2822;573;568;351
7;Premium;E;VS2;626;560;2822;571;566;356
7;Ideal;D;SI1;597;580;2822;582;577;346
7;Good;E;SI1;614;640;2822;571;566;349
7;Ideal;D;SI1;625;570;2822;562;559;351
7;Ideal;D;SI1;618;560;2822;573;563;351
7;Premium;E;VS2;607;620;2822;572;568;346
7;Premium;F;VS2;606;580;2822;58;572;349
7;Ideal;D;SI1;614;540;2822;575;571;352
9;Good;I;SI1;638;570;2823;606;613;389
61;Ideal;E;VVS2;613;540;2823;551;559;34
71;Ideal;E;SI1;605;560;2823;577;573;347
77;Ideal;I;VVS2;621;570;2824;584;586;363
74;Good;E;VS1;631;580;2824;573;575;362
82;Premium;E;SI2;608;600;2824;605;603;367
71;Premium;G;VS1;622;590;2825;573;566;354
83;Premium;H;SI1;600;590;2825;608;605;364
73;Very Good;G;VS1;620;570;2825;575;58;358
83;Premium;H;SI1;625;590;2825;602;595;374
117;Premium;J;I1;602;610;2825;69;683;413
91;Fair;H;SI2;613;670;2825;624;619;381
73;Premium;E;VS1;626;600;2826;575;568;358
7;Good;E;VS1;572;590;2826;594;588;338
9;Premium;I;SI2;622;590;2826;611;607;379
7;Premium;E;VS1;622;580;2826;566;56;35
7;Very Good;D;VS2;633;560;2826;56;558;354
7;Premium;E;VS1;594;610;2826;578;574;342
9;Very Good;I;SI2;635;560;2826;617;607;388
78;Premium;F;SI1;608;600;2826;597;594;362
96;Ideal;F;I1;607;550;2826;641;637;388
7;Very Good;D;SI1;623;590;2827;567;57;354
72;Good;D;VS2;640;540;2827;568;57;364
79;Premium;H;VVS2;626;580;2827;596;59;371
7;Ideal;H;VVS1;616;570;2827;569;574;352
7;Ideal;H;VVS1;623;550;2827;566;57;354
7;Ideal;D;SI2;606;570;2828;574;577;349
101;Premium;H;SI2;616;610;2828;639;631;391
72;Premium;F;VS1;622;580;2829;575;57;356
8;Good;E;SI2;637;540;2829;591;587;375
59;Ideal;E;VVS1;620;560;2829;536;538;333
72;Ideal;F;VS1;617;570;2829;577;574;355
75;Premium;E;SI2;619;570;2829;588;582;362
8;Premium;E;SI2;602;570;2829;605;601;363
71;Very Good;E;VS2;627;590;2830;565;57;356
77;Very Good;H;SI1;617;560;2830;584;589;362
97;Ideal;F;I1;607;560;2830;641;643;39
53;Ideal;F;VVS1;609;570;2830;523;529;319
53;Ideal;F;VVS1;618;570;2830;516;519;32
8;Ideal;I;VS2;621;544;2830;594;599;37
9;Premium;G;SI1;606;620;2830;621;613;374
76;Very Good;E;SI2;608;600;2831;589;598;361
72;Ideal;E;SI1;623;570;2831;57;576;357
75;Ideal;E;SI1;614;570;2831;582;587;359
72;Premium;E;SI1;621;580;2831;573;576;357
79;Ideal;G;SI1;618;560;2831;593;591;366
72;Very Good;F;VS2;625;580;2832;571;575;358
91;Very Good;I;SI2;628;610;2832;615;618;387
71;Premium;G;VVS2;621;570;2832;575;565;354
81;Premium;G;SI1;630;600;2832;587;581;368
71;Premium;F;VS1;622;580;2832;572;566;354
9;Good;J;SI1;643;630;2832;605;601;388
8;Very Good;I;VS2;620;580;2833;586;595;366
56;Very Good;E;IF;610;590;2833;528;534;324
7;Very Good;D;VS2;596;610;2833;577;58;345
7;Ideal;D;VS2;610;570;2833;574;576;351
61;Ideal;F;VVS2;617;550;2833;545;548;337
85;Ideal;H;SI2;625;570;2833;602;607;378
7;Ideal;F;SI1;607;570;2833;573;575;349
8;Ideal;G;VS2;622;560;2834;594;587;367
8;Ideal;H;VS2;628;570;2834;591;587;37
51;Very Good;D;VVS1;599;580;2834;516;519;31
53;Ideal;F;VVS1;614;570;2834;52;523;32
78;Ideal;I;VS2;618;550;2834;592;595;367
9;Very Good;J;SI1;634;540;2834;617;614;39
9;Fair;G;SI2;653;590;2834;607;60;394
77;Ideal;E;SI2;607;550;2834;601;595;363
73;Ideal;F;VS1;612;560;2835;589;581;358
63;Ideal;F;VVS2;619;570;2835;547;551;34
7;Ideal;E;VS2;615;540;2835;57;575;352
72;Ideal;E;VS2;628;570;2835;571;573;359
72;Ideal;E;SI1;610;570;2835;578;58;353
82;Very Good;H;SI1;607;560;2836;604;606;367
71;Good;E;VS2;628;600;2836;56;565;353
7;Premium;E;VS1;626;590;2837;569;566;355
7;Ideal;E;VS1;618;560;2837;574;569;353
71;Ideal;F;SI1;598;530;2838;586;582;349
76;Very Good;H;SI1;609;550;2838;592;594;361
82;Fair;F;SI1;649;580;2838;583;579;377
72;Premium;F;VS1;588;600;2838;591;589;347
7;Premium;F;VS2;623;580;2838;572;564;354
7;Premium;F;VS2;617;580;2838;569;563;349
7;Premium;G;VS1;626;550;2838;573;564;356
7;Premium;F;VS2;594;610;2838;583;579;345
7;Premium;F;VS2;609;610;2838;571;566;346
